state,act_participation_rate_2018,act_composite_2018,sat_participation_rate_2018,sat_reading_writing_2018,sat_math_2018,sat_composite_2018,act_participation_rate_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_rate_2017,sat_reading_writing_2017,sat_math_2017,sat_composite_2017
alabama,100,19.1,6,595,571,1166,100,18.9,18.4,19.7,19.4,19.2,5,593,572,1165
alaska,33,20.8,43,562,544,1106,65,18.7,19.8,20.4,19.9,19.8,38,547,533,1080
arizona,66,19.2,29,577,572,1149,62,18.6,19.8,20.1,19.8,19.7,30,563,553,1116
arkansas,100,19.4,5,592,576,1169,100,18.9,19.0,19.7,19.5,19.4,3,614,594,1208
california,27,22.7,60,540,536,1076,31,22.5,22.7,23.1,22.2,22.8,53,531,524,1055
colorado,30,23.9,100,519,506,1025,100,20.1,20.3,21.2,20.9,20.8,11,606,595,1201
connecticut,26,25.6,100,535,519,1053,31,25.5,24.6,25.6,24.6,25.2,100,530,512,1041
delaware,17,23.8,100,505,492,998,18,24.1,23.4,24.8,23.6,24.1,100,503,492,996
district of columbia,32,23.6,92,497,480,977,32,24.4,23.5,24.9,23.5,24.2,100,482,468,950
florida,66,19.9,56,550,549,1099,73,19.0,19.4,21.0,19.4,19.8,83,520,497,1017
georgia,53,21.4,70,542,522,1064,55,21.0,20.9,22.0,21.3,21.4,61,535,515,1050
hawaii,89,18.9,56,480,530,1010,90,17.8,19.2,19.2,19.3,19.0,55,544,541,1085
idaho,36,22.3,100,508,493,1001,38,21.9,21.8,23.0,22.1,22.3,93,513,493,1005
illinois,43,23.9,99,513,506,1019,93,21.0,21.2,21.6,21.3,21.4,9,559,556,1115
indiana,32,22.5,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6,63,542,532,1074
iowa,68,21.8,3,634,631,1265,67,21.2,21.3,22.6,22.1,21.9,2,641,635,1275
kansas,71,21.6,4,633,631,1265,73,21.1,21.3,22.3,21.7,21.7,4,632,628,1260
kentucky,100,20.2,4,630,618,1248,100,19.6,19.4,20.5,20.1,20.0,4,631,616,1247
louisiana,100,19.2,4,615,595,1210,100,19.4,18.8,19.8,19.6,19.5,4,611,586,1198
maine,7,24.0,99,512,501,1013,8,24.2,24.0,24.8,23.7,24.3,95,513,499,1012
maryland,31,22.5,76,545,535,1080,28,23.3,23.1,24.2,23.0,23.6,69,536,524,1060
massachusetts,25,25.5,80,562,563,1125,29,25.4,25.3,25.9,23.0,25.4,76,555,551,1107
michigan,22,24.2,100,511,499,1011,29,24.1,23.7,24.5,23.0,24.1,100,509,495,1005
minnesota,99,21.3,4,643,655,1298,100,20.4,21.5,21.8,23.0,21.5,3,644,651,1295
mississippi,100,18.6,3,630,606,1236,100,18.2,18.1,18.8,23.0,18.6,2,634,607,1242
missouri,100,20.0,4,633,629,1262,100,19.8,19.9,20.8,23.0,20.4,3,640,631,1271
montana,100,20.0,10,606,592,1198,100,19.0,20.2,21.0,23.0,20.3,10,605,591,1196
nebraska,100,20.1,3,629,623,1252,84,20.9,20.9,21.9,23.0,21.4,3,629,625,1253
nevada,100,17.7,23,574,566,1140,100,16.3,18.0,18.1,23.0,17.8,26,563,553,1116
new hampshire,16,25.1,96,535,528,1063,18,25.4,25.1,26.0,23.0,25.5,96,532,520,1052
new jersey,31,23.7,82,547,547,1094,34,23.8,23.8,24.1,23.0,23.9,70,530,526,1056
new mexico,67,19.4,16,552,540,1093,66,18.6,19.4,20.4,23.0,19.7,11,577,561,1138
new york,27,24.5,79,534,534,1068,31,23.8,24.0,24.6,23.0,24.2,67,528,523,1052
north carolina,100,19.1,52,554,543,1098,100,17.8,19.3,19.6,23.0,19.1,49,546,535,1081
north dakota,98,20.3,2,640,643,1283,98,19.0,20.4,20.5,23.0,20.3,2,635,621,1256
ohio,100,20.3,18,552,547,1099,75,21.2,21.6,22.5,23.0,22.0,12,578,570,1149
oklahoma,100,19.3,8,541,521,1062,100,18.5,18.8,20.1,23.0,19.4,7,530,517,1047
oregon,42,21.3,48,564,553,1117,40,21.2,21.5,22.4,23.0,21.8,43,560,548,1108
pennsylvania,20,23.5,70,547,539,1086,23,23.4,23.4,24.2,23.0,23.7,65,540,531,1071
rhode island,15,24.2,97,513,505,1018,21,24.0,23.3,24.7,23.0,24.0,71,539,524,1062
south carolina,100,18.3,55,547,523,1070,100,17.5,18.6,19.1,23.0,18.7,50,543,521,1064
south dakota,77,21.9,3,622,618,1240,80,20.7,21.5,22.3,23.0,21.8,3,612,603,1216
tennessee,100,19.6,6,624,607,1231,100,19.5,19.2,20.1,23.0,19.8,5,623,604,1228
texas,45,20.7,66,520,512,1032,45,19.5,20.7,21.1,23.0,20.7,62,513,507,1020
utah,100,20.4,4,480,530,1010,100,19.5,19.9,20.8,23.0,20.3,3,624,614,1238
vermont,24,24.1,64,565,554,1120,29,23.3,23.1,24.4,23.0,23.6,60,562,551,1114
virginia,24,23.9,68,567,550,1117,29,23.5,23.3,24.6,23.0,23.8,65,561,541,1102
washington,24,22.2,69,543,538,1081,29,20.9,21.9,22.1,23.0,21.9,64,541,534,1075
west virginia,65,20.3,28,513,486,999,69,20.0,19.4,21.2,23.0,20.4,14,558,528,1086
wisconsin,100,20.5,3,641,653,1294,100,19.7,20.4,20.6,23.0,20.5,3,642,649,1291
wyoming,100,20.0,3,633,625,1257,100,19.4,19.8,20.8,23.0,20.2,3,626,604,1230
